trait,blue,GID
DAYSMT,147.5920222,GID7396135
DAYSMT,149.7052298,GID7396136
DAYSMT,149.9284505,GID7396139
DAYSMT,148.503202,GID7396142
DAYSMT,151.4402828,GID7396143
DAYSMT,149.3188893,GID7396151
DAYSMT,149.9389928,GID7396153
DAYSMT,150.3377586,GID7396155
DAYSMT,153.4419415,GID7396161
DAYSMT,152.2159363,GID7396171
DAYSMT,148.0628963,GID7396172
DAYSMT,151.5595916,GID7396173
DAYSMT,150.387351,GID7396174
DAYSMT,151.5595916,GID7396176
DAYSMT,150.5590606,GID7396184
DAYSMT,150.760066,GID7396194
DAYSMT,146.4996717,GID7396207
DAYSMT,147.496723,GID7396208
DAYSMT,149.658912,GID7396209
DAYSMT,150.398434,GID7396227
DAYSMT,150.7819642,GID7396228
DAYSMT,152.0359492,GID7396235
DAYSMT,151.7525328,GID7396236
DAYSMT,150.6389949,GID7396237
DAYSMT,146.6389949,GID7396244
DAYSMT,149.4100234,GID7396248
DAYSMT,148.6102322,GID7396257
DAYSMT,148.7965929,GID7396327
DAYSMT,150.1840681,GID7396355
DAYSMT,151.7055796,GID7396461
DAYSMT,145.2779051,GID7396477
DAYSMT,148.5759266,GID7396482
DAYSMT,152.7426156,GID7396535
DAYSMT,150.2426156,GID7396538
DAYSMT,146.6739088,GID7396540
DAYSMT,143.9308531,GID7396549
DAYSMT,146.4136764,GID7396550
DAYSMT,147.3457635,GID7396555
DAYSMT,152.9136764,GID7396560
DAYSMT,149.6905151,GID7396566
DAYSMT,145.5728172,GID7396624
DAYSMT,142.7258046,GID7396638
DAYSMT,143.0603492,GID7396639
DAYSMT,149.5655995,GID7396709
DAYSMT,147.3466035,GID7396710
DAYSMT,151.2045305,GID7396745
DAYSMT,150.7174738,GID7396825
DAYSMT,146.3406103,GID7396856
DAYSMT,146.5507342,GID7396931
DAYSMT,149.781105,GID7396982
DAYSMT,149.0583918,GID7397011
DAYSMT,151.9144548,GID7397016
DAYSMT,150.4808864,GID7397021
DAYSMT,149.4066846,GID7397025
DAYSMT,151.2122947,GID7397073
DAYSMT,149.7122947,GID7397094
DAYSMT,146.1866736,GID7397107
DAYSMT,153.1241366,GID7397162
DAYSMT,148.2004294,GID7397172
DAYSMT,151.6265179,GID7397183
DAYSMT,149.5517994,GID7397189
DAYSMT,151.5161445,GID7397194
DAYSMT,150.6095464,GID7397195
DAYSMT,148.1742812,GID7397234
DAYSMT,147.847498,GID7397241
DAYSMT,150.2768844,GID7397244
DAYSMT,151.166511,GID7397245
DAYSMT,153.7462768,GID7397281
DAYSMT,148.2955916,GID7397361
DAYSMT,147.7180862,GID7397362
DAYSMT,149.2236502,GID7397363
DAYSMT,147.1438844,GID7397371
DAYSMT,149.996858,GID7397372
DAYSMT,148.061026,GID7397442
DAYSMT,147.2184828,GID7397500
DAYSMT,146.934854,GID7397501
DAYSMT,151.434854,GID7397504
DAYSMT,148.5974111,GID7397520
DAYSMT,149.6725157,GID7397531
DAYSMT,146.048364,GID7397538
DAYSMT,147.8575326,GID7397540
DAYSMT,148.4443153,GID7397590
DAYSMT,147.6220002,GID7397604
DAYSMT,150.4535341,GID7397627
DAYSMT,152.1103016,GID7397661
DAYSMT,151.2520498,GID7397666
DAYSMT,148.2520498,GID7397670
DAYSMT,151.7243747,GID7397672
DAYSMT,149.0528427,GID7397682
DAYSMT,145.3902054,GID7397687
DAYSMT,145.4599071,GID7397691
DAYSMT,151.3902054,GID7397713
DAYSMT,145.1616037,GID7397720
DAYSMT,145.5934917,GID7397728
DAYSMT,145.4158068,GID7397747
DAYSMT,149.8926451,GID7397754
DAYSMT,147.8643859,GID7397762
DAYSMT,144.3926451,GID7397771
DAYSMT,145.9622817,GID7397815
DAYSMT,145.4389774,GID7397891
DAYSMT,150.4213809,GID7397892
DAYSMT,145.1063978,GID7397893
DAYSMT,146.5805175,GID7397995
DAYSMT,144.0804374,GID7398005
DAYSMT,144.2369218,GID7398014
DAYSMT,147.1501391,GID7398018
